iter	Passed	Remaining
0	6	20696
1	13	19623
2	19	19281
3	25	18823
4	31	18921
5	38	19069
6	44	19057
7	51	19088
8	57	19211
9	63	19054
10	66	18178
11	73	18187
12	79	18192
13	85	18247
14	93	18575
15	100	18664
16	105	18590
17	112	18607
18	118	18578
19	124	18565
20	130	18493
21	136	18424
22	142	18423
23	146	18120
24	152	18091
25	157	18067
26	163	18032
27	169	18014
28	175	18020
29	181	17998
30	188	18050
31	194	18034
32	200	18003
33	206	17976
34	211	17954
35	218	17967
36	225	18038
37	231	18010
38	237	18041
39	243	18030
40	249	18015
41	255	18024
42	263	18086
43	269	18093
44	274	18053
45	281	18060
46	287	18069
47	293	18053
48	299	18051
49	305	18049
50	312	18048
51	318	18029
52	324	18023
53	329	17992
54	336	18001
55	341	17969
56	347	17947
57	355	18038
58	362	18056
59	368	18053
60	375	18110
61	381	18092
62	388	18089
63	393	18072
64	399	18058
65	406	18080
66	412	18067
67	419	18066
68	424	18034
69	430	18030
70	436	18014
71	442	17997
72	448	17994
73	455	17991
74	460	17977
75	466	17966
76	472	17941
77	478	17938
78	485	17933
79	490	17917
80	497	17929
81	503	17926
82	509	17920
83	516	17931
84	522	17918
85	528	17914
86	534	17894
87	540	17873
88	546	17885
89	553	17895
90	561	17950
91	568	17962
92	574	17964
93	580	17939
94	585	17914
95	591	17900
96	598	17899
97	604	17895
98	610	17878
99	616	17865
100	622	17869
101	629	17880
102	635	17875
103	641	17858
104	647	17844
105	653	17838
106	659	17818
107	665	17808
108	670	17781
109	676	17770
110	682	17774
111	688	17760
112	694	17745
113	700	17733
114	706	17731
115	713	17737
116	719	17723
117	724	17704
118	731	17699
119	737	17688
120	743	17690
121	749	17680
122	755	17673
123	763	17712
124	770	17729
125	775	17689
126	781	17668
127	786	17655
128	793	17651
129	799	17658
130	806	17660
131	812	17656
132	818	17643
133	824	17635
134	830	17624
135	836	17610
136	842	17601
137	848	17592
138	854	17586
139	860	17575
140	866	17568
141	872	17564
142	878	17547
143	884	17535
144	889	17518
145	895	17514
146	902	17520
147	908	17510
148	914	17499
149	920	17492
150	926	17486
151	932	17479
152	939	17477
153	945	17469
154	951	17467
155	957	17459
156	963	17453
157	969	17444
158	975	17430
159	981	17413
160	986	17400
161	993	17399
162	999	17392
163	1005	17384
164	1011	17371
165	1017	17366
166	1023	17356
167	1028	17340
168	1035	17340
169	1041	17331
170	1047	17326
171	1053	17324
172	1059	17316
173	1066	17317
174	1072	17310
175	1078	17299
176	1084	17301
177	1090	17284
178	1096	17285
179	1103	17281
180	1109	17278
181	1115	17270
182	1121	17259
183	1127	17250
184	1133	17242
185	1139	17235
186	1145	17231
187	1151	17226
188	1157	17217
189	1164	17215
190	1169	17206
191	1176	17205
192	1183	17207
193	1189	17206
194	1196	17206
195	1202	17197
196	1208	17191
197	1214	17186
198	1221	17186
199	1227	17180
200	1233	17181
201	1240	17176
202	1245	17166
203	1252	17162
204	1258	17155
205	1263	17143
206	1269	17131
207	1276	17128
208	1282	17124
209	1289	17125
210	1295	17129
211	1301	17119
212	1308	17117
213	1314	17114
214	1320	17107
215	1327	17103
216	1333	17102
217	1339	17096
218	1345	17089
219	1351	17078
220	1357	17074
221	1364	17071
222	1369	17057
223	1376	17056
224	1382	17050
225	1388	17042
226	1394	17037
227	1400	17030
228	1406	17022
229	1413	17018
230	1419	17012
231	1425	17010
232	1431	17002
233	1437	16996
234	1443	16987
235	1450	16984
236	1457	16994
237	1463	16986
238	1469	16977
239	1476	16979
240	1482	16973
241	1488	16964
242	1494	16953
243	1500	16950
244	1506	16941
245	1512	16933
246	1519	16932
247	1525	16922
248	1531	16917
249	1536	16903
250	1542	16891
251	1548	16881
252	1554	16879
253	1560	16870
254	1566	16862
255	1572	16852
256	1578	16847
257	1584	16839
258	1590	16831
259	1596	16823
260	1602	16813
261	1608	16807
262	1614	16799
263	1619	16789
264	1626	16782
265	1632	16775
266	1638	16771
267	1646	16780
268	1651	16768
269	1657	16760
270	1663	16755
271	1670	16752
272	1677	16756
273	1683	16745
274	1689	16738
275	1695	16736
